,User review,Review date,Star review,Has media
0,\nсиний\nS,2025-02-07,5,1
1,\nчерный\nXL,2025-03-31,5,0
2,\nсерый\nS\nДостоинства: ,2025-03-30,5,0
3,\nчерный\nXL,2025-03-30,5,0
4,\nчерный\nXL,2025-03-30,5,0
5,\nкоричневый\nL\nДостоинства: \nНедостатки: \nКомментарий: ,2025-03-30,5,0
6,\nсерый\nXL\nДостоинства: ,2025-03-30,5,1
7,\nкоричневый\nL\nДостоинства: \nНедостатки: ,2025-03-29,3,0
8,\nсерый\nXL\nДостоинства: ,2025-03-29,5,0
9,\nкофейный\nM\nДостоинства: \nНедостатки: \nКомментарий: ,2025-03-28,5,0
10,\nчерный\nM,2025-03-28,5,0
11,\nсиний\nL\nДостоинства: ,2025-03-27,5,0
12,\nчерный\nXL,2025-03-27,5,0
13,\nсиний\nS\nДостоинства: \nНедостатки: ,2025-03-26,1,0
14,\nбежевый\nL,2025-03-26,5,0
15,\nкоричневый\nL\nДостоинства: ,2025-03-26,5,1
16,\nчерный\nS\nДостоинства: ,2025-03-26,5,0
17,\nсиний\n2XL\nДостоинства: ,2025-03-25,5,0
18,\nчерный\nXL\nНедостатки: \nКомментарий: ,2025-03-25,1,1
19,\nсиний\n2XL,2025-03-24,5,0
20,\nбежевый\nL\nДостоинства: ,2025-03-24,5,0
21,\nчерный\n2XL,2025-03-24,4,0
22,\nсиний\n2XL\nДостоинства: ,2025-03-22,5,0
23,\nчерный\n2XL\nДостоинства: ,2025-03-21,4,0
24,\nсиний\nL,2025-03-21,5,1
25,\nсиний\nM,2025-03-21,5,0
26,\nчерный\nL\nНедостатки: ,2025-03-20,2,0
27,\nкоричневый\nS,2025-03-20,5,1
28,\nсиний\nL,2025-03-18,5,0
29,\nсиний\nM,2025-03-18,5,0
30,"\nтемно-синий, синий\nXL",2025-03-18,5,0
